case:concept:name,concept:name,time:timestamp,cost:total,human_resource,org:role,org:resource,outcome_unit,unsuccessful_outcome_unit,cost:fixed,cost:variable,cost:labor,cost:inventory,client,cost:maintenance,cost:missed_deadline,cost:transportation,cost:warehousing,quality,lifecycle:transition,concept:instance
0,A,2025-01-01 10:00:00+00:00,6,Ed,Boss,Machine 2,0,0,1,5,4,1,Patrick,51,23,30,63,3,start,1
0,A,2025-01-01 10:00:02+00:00,1,Eddy,Employee,Machine 1,0,0,1,0,0,0,Patrick,51,23,30,63,3,start,2
0,A,2025-01-01 10:00:02+00:00,1,Eddy,Employee,Machine 1,0,0,1,0,0,0,Patrick,51,23,30,63,3,complete,2
0,A,2025-01-01 10:00:08+00:00,6,Ed,Boss,Machine 2,0,0,1,5,4,1,Patrick,51,23,30,63,3,complete,1
1,D,2025-01-01 10:00:07+00:00,3,Ed,Boss,Machine 2,0,0,1,2,2,0,Krabs,57,56,46,0,2,start,3
1,B,2025-01-01 10:00:08+00:00,0,Edd,Employee,Machine 1,0,0,0,0,0,0,Krabs,57,56,46,0,2,complete,4
1,C,2025-01-01 10:00:13+00:00,20,Ed,Boss,Machine 2,95,0,9,11,9,2,Krabs,57,56,46,0,2,complete,5
1,C,2025-01-01 10:00:13+00:00,20,Ed,Boss,Machine 2,95,0,9,11,9,2,Krabs,57,56,46,0,2,start,5
1,C,2025-01-01 10:00:14+00:00,16,Edd,Employee,Machine 1,13,0,15,1,0,1,Krabs,57,56,46,0,2,start,6
1,D,2025-01-01 10:00:16+00:00,3,Ed,Boss,Machine 2,0,0,1,2,2,0,Krabs,57,56,46,0,2,complete,3
1,C,2025-01-01 10:00:16+00:00,16,Edd,Employee,Machine 1,13,0,15,1,0,1,Krabs,57,56,46,0,2,complete,6
1,B,2025-01-01 10:00:22+00:00,6,Eddy,Employee,Machine 1,19,0,6,0,0,0,Krabs,57,56,46,0,2,start,7
1,B,2025-01-01 10:00:32+00:00,6,Ed,Boss,Machine 2,0,0,6,0,0,0,Krabs,57,56,46,0,2,complete,8
1,A,2025-01-01 10:00:35+00:00,9,Ed,Boss,Machine 2,18,0,4,5,4,1,Krabs,57,56,46,0,2,start,9
1,A,2025-01-01 10:00:38+00:00,9,Ed,Boss,Machine 2,18,0,4,5,4,1,Krabs,57,56,46,0,2,complete,9
1,A,2025-01-01 10:00:42+00:00,17,Eddy,Employee,Machine 1,23,0,5,12,0,12,Krabs,57,56,46,0,2,start,10
1,A,2025-01-01 10:00:48+00:00,17,Eddy,Employee,Machine 1,23,0,5,12,0,12,Krabs,57,56,46,0,2,complete,10
1,A,2025-01-01 10:00:49+00:00,14,Edd,Employee,Machine 2,85,20,4,10,10,0,Krabs,57,56,46,0,2,start,11
1,A,2025-01-01 10:00:54+00:00,14,Edd,Employee,Machine 2,85,20,4,10,10,0,Krabs,57,56,46,0,2,complete,11
